countrycit,D_biep.White_Good_all.mean,D_biep.White_Good_all.sd,n,err
AD, 0.142321095, 0.524081947, 12,0.15128943
AL, 0.004682444, 0.478299863, 12,0.13807328
AN,-0.076513108, 0.318742663,  7,0.12047340
AT,-0.254623156, 0.423968795,  6,0.17308454
BA,-0.165402296, 0.857294514,  9,0.28576484
BE, 0.441342563, 0.348064313, 16,0.08701608
BG, 0.321867976, 0.285158299,  3,0.16463622
BY, 0.505073428, 0.524571357,  5,0.23459544
CH, 0.719577987,NA,  1,NA
DE, 0.053257560, 0.513643456, 10,0.16242832
DK, 0.187785986,NA,  2,NA
ES, 0.145612424, 0.394529749, 14,0.10544251
FR,-0.048899845, 0.465011494, 20,0.10397973
HR, 0.084417429,NA,  1,NA
IE, 0.457382199,NA,  1,NA
IS, 0.849221895,NA,  1,NA
IT, 0.231686444, 0.423058975,  9,0.14101966
NL, 0.004144623, 0.580656163, 26,0.11387604
NO,-0.012191588, 0.416964505,  9,0.13898817
PL, 0.831594775, 0.191359966,  2,0.13531193
PT, 0.509333581, 0.285029571,  3,0.16456190
RU, 0.353746703,NA,  2,NA
SE,-0.064131113, 0.296776468, 12,0.08567199
SI, 0.785173378,NA,  1,NA
UK, 0.003516208, 0.468150551,448,0.02211803
